epoch,train_loss,train_acc,val_acc,val_mIoU,val_biou
1,2.6368717682323877,0.4893011121554005,,,
2,1.2765069522812396,0.6749567576128894,,,
3,1.0053214128541796,0.718134346248644,,,
4,0.9370282232950006,0.7338761107375392,,,
5,0.8715711717930021,0.7511995442966336,0.7832853338392973,0.3049941474857037,0.3297094771459154
6,0.8372307435809812,0.7613922941748279,,,
7,0.811170595214714,0.7697757732382416,,,
8,0.7851759840887559,0.7785967209670358,,,
9,0.7648451473516754,0.7855737679596893,,,
10,0.7489598936672452,0.7917017779238471,0.8006316432942895,0.3278785915170658,0.3558328194999719
11,0.7321311165637607,0.7976241255911241,,,
12,0.7146874852478504,0.8040134097589489,,,
13,0.7047207528088666,0.8069479725285066,,,
14,0.6951413490821289,0.8118275753141392,,,
15,0.6823950435353231,0.8173001415450327,0.809762470996379,0.33805811777820755,0.36825857775840865
16,0.6734837499223177,0.8196449456597096,,,
17,0.6602335334107091,0.8261711389023256,,,
18,0.654998977821839,0.827938587198341,,,
19,0.6478057821528821,0.8312867102114552,,,
20,0.6389640956834147,0.835308061685362,0.8107752753961202,0.3426383010079841,0.3734597941641753
21,0.6333917782087869,0.8379107412947792,,,
22,0.6264697229136017,0.8418127482758404,,,
23,0.6184753010261662,0.8446535404399604,,,
24,0.6139828284518628,0.8467103166144085,,,
25,0.6104630118448146,0.8483571316217959,0.8178595752676319,0.34868061763731595,0.38081113930450183
